Azienda,Settore,Dimensione,Livello,Contatto,Email,Tipo Contratto,Durata Contratto,Season,Commercial Value,Bonus Playoff,Net of Ticketing,Gameday Reconciliation,VB Reconciliaiton,CSR Reconciliation,Corp Tix Reconciliation,Sponsor Reconciliation,Delta,July,August,September,October,November,December,January,February,March,April,May,June
PREVCOM,Commercio/GDO,Grande,Nazionale,,,CASH,Stagione,24/25,,,476.964 €,2.900 €,250.000 €,,19.346 €,,,,,,,,,,,,,,
RB ALBERGHIERA,Ho.Re.Ca.,Piccola,Locale,,,CASH,Anno Solare,24/25,2.500 €,,2.500 €,116 €,,,0 €,763 €,713 €,,,,,,,,,,,,
RENT4FOOD,Servizi/Artigiano,Piccola,Locale,,,CM,Stagione,24/25,10.000 €,,7.858 €,340 €,,,2.142 €,2.758 €,2.758 €,,,,,,,,,,,,
SANGIACOMO DECOR,Servizi/Artigiano,Piccola,Locale,,,CM,Stagione,24/25,6.000 €,1.000 €,4.738 €,275 €,,,1.262 €,613 €,-137 €,,,,,,,,,,,,
SECONDA STRADA,Commercio/GDO,Media,Locale,,,CASH,Stagione,24/25,5.000 €,1.000 €,4.525 €,338 €,,,475 €,-550 €,-1.125 €,,,,2.500 €,,,2.500 €,,,,,
SECONDA STRADA_CM,Commercio/GDO,Media,Locale,,,CM,Stagione,24/25,3.000 €,,3.000 €,23 €,,,0 €,2.650 €,2.300 €,,,,,,,,,,,,
SEV,Media,Piccola,Locale,,,CM,Stagione,24/25,9.500 €,,8.572 €,81 €,,,928 €,7.362 €,7.112 €,,,,,,,,,,,,
SIELCO,IT,Media,Locale,,,CASH,Anno Solare,24/25,5.000 €,,4.286 €,210 €,,,714 €,1.141 €,966 €,,,,,,,,,,,,
SIMONE FUSO,Consulenza/Libero Prof.,Piccola,Locale,,,CASH,Stagione,24/25,4.000 €,600 €,3.286 €,352 €,,,714 €,-1.989 €,-2.164 €,,,,2.000 €,,,1.000 €,1.000 €,,,,
SONICA SERVICE,Servizi/Artigiano,Piccola,Locale,,,CM,Stagione,24/25,10.000 €,,9.286 €,160 €,,,714 €,6.886 €,6.886 €,,,,,,,,,,,,
STRUQTURE,Servizi/Artigiano,Piccola,Locale,,,CASH,Stagione,24/25,6.600 €,1.000 €,4.815 €,363 €,,,1.785 €,-635 €,-985 €,,,,,,6.500 €,,,,,,
SUMMEET,Comunicazione/Pubblicità,Media,Nazionale,,,CASH,Stagione,24/25,,3.000 €,18.463 €,798 €,,,5.345 €,,2.962 €,,,,,,,,,,,,
SUNRISE MEDIA ,Media,Piccola,Locale,,,CM,Stagione,24/25,12.000 €,,6.175 €,0 €,,,5.075 €,6.055 €,6.055 €,,,,,,,,,,,,
TCI,Industria,Grande,Nazionale,,,CASH,Stagione,24/25,100.000 €,15.000 €,84.976 €,2.562 €,,,13.794 €,46.011 €,45.936 €,,,10.000 €,10.000 €,10.000 €,10.000 €,10.000 €,10.000 €,10.000 €,10.000 €,10.000 €,10.000 €
TECNOSERVIZI,Facility Management,Piccola,Locale,,,CM,Stagione,24/25,10.000 €,,10.000 €,340 €,,,0 €,4.900 €,4.900 €,,,,,,,,,,,,
TEMA AVIO,Aerospace,Piccola,Internazionale,,,CASH,Stagione,24/25,10.000 €,,5.900 €,573 €,,,3.350 €,-2.820 €,-3.320 €,,,,,10.000 €,,,,,,,
TICINOPASS,Servizi/Artigiano,Piccola,Regionale,,,CASH,Stagione,24/25,2.700 €,,2.700 €,603 €,,,0 €,-6.350 €,-6.775 €,,,,,2.700 €,,,,,,,
TIGROS,Commercio/GDO,Grande,Regionale,,,CASH,Stagione,24/25,100.000 €,,91.612 €,5.108 €,,,6.888 €,14.807 €,13.132 €,,,,40.000 €,,30.000 €,,30.000 €,,,,
TORSELLINI VETRO,Servizi/Artigiano,Piccola,Locale,,,CASH,Stagione,24/25,8.000 €,,4.954 €,640 €,,,2.296 €,-4.646 €,-4.646 €,,,4.000 €,,,,4.000 €,,,,,
TREVISION,Servizi/Artigiano,Piccola,Regionale,,,CM,Stagione,24/25,10.000 €,,10.000 €,138 €,,,0 €,7.938 €,7.863 €,,,,,,,,,,,,
UNIVA SERVIZI,Pubblico,Piccola,Locale,,,CASH,Stagione,24/25,4.400 €,,3.138 €,17 €,,,1.262 €,2.888 €,2.638 €,,,,,,4.400 €,,,,,,
VALMORA_CM,Food & Beverage,Grande,Nazionale,,,CM,Stagione,24/25,6.000 €,,6.000 €,0 €,,,0 €,6.000 €,6.000 €,,,,,,,,,,,,
VALMORA,Food & Beverage,Grande,Nazionale,,,CASH,Stagione,24/25,20.000 €,,17.704 €,1.164 €,,,2.296 €,242 €,-684 €,,,10.000 €,,,,,10.000 €,,,,
VARESENEWS,Media,Piccola,Locale,,,CM,Stagione,24/25,7.500 €,,7.500 €,81 €,,,0 €,6.290 €,6.040 €,,,,,,,,,,,,
VARESENOI,Media,Piccola,Locale,,,CM,Stagione,24/25,7.500 €,,7.500 €,81 €,,,0 €,6.290 €,6.040 €,,,,,,,,,,,,
VCV,Servizi/Artigiano,Piccola,Locale,,,CASH,Stagione,24/25,10.000 €,1.500 €,8.473 €,557 €,,,1.527 €,123 €,-127 €,,,,,,,10.000 €,,,,,
VERBANO CARTE,Commercio/GDO,Piccola,Locale,,,CM,Stagione,24/25,4.500 €,,3.028 €,116 €,,,1.472 €,1.291 €,1.241 €,,,,,,,,,,,,
VIRAS,Commercio/GDO,Piccola,Locale,,,CM,Stagione,24/25,1.500 €,,1.500 €,0 €,,,0 €,1.500 €,1.500 €,,,,,,,,,,,,
VIVATICKET,Servizi/Artigiano,Grande,Nazionale,,,CM,Stagione,24/25,25.000 €,5.000 €,18.908 €,388 €,,,4.592 €,13.083 €,12.658 €,,,,,,,,,,,,
VNC OWNER'S CLUB_CM,Altro,Piccola,Locale,,,CM,Stagione,24/25,51.788 €,,51.788 €,0 €,,,0 €,51.788 €,51.788 €,,,,,,,,,,,,
